127.0.0.1, 2015-06-07 19:36:27, POST, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.040092
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000296
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001122
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000580
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000348
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/js/jquery.js, HTTP/1.1, 304, 0.000511
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/css/calendar.css, HTTP/1.1, 304, 0.000486
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001355
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/js/calendar.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/js/web2py.js, HTTP/1.1, 304, 0.000244
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000278
127.0.0.1, 2015-06-07 19:36:27, GET, /lpfx_tiss/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001047
127.0.0.1, 2015-06-07 19:36:28, GET, /lpfx_tiss/static/images/twitter.png, HTTP/1.1, 304, 0.000323
127.0.0.1, 2015-06-07 19:36:28, GET, /lpfx_tiss/static/images/facebook.png, HTTP/1.1, 304, 0.000398
127.0.0.1, 2015-06-07 19:36:28, GET, /lpfx_tiss/static/images/gplus-32.png, HTTP/1.1, 304, 0.000357
127.0.0.1, 2015-06-07 19:36:58, POST, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 303, 0.185492
127.0.0.1, 2015-06-07 19:36:58, GET, /lpfx_tiss/default/beneficiario, HTTP/1.1, 200, 0.133100
127.0.0.1, 2015-06-07 19:36:58, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000304
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/default/beneficiario, HTTP/1.1, 200, 0.581936
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000347
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001680
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/js/jquery.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002068
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/js/calendar.js, HTTP/1.1, 304, 0.000568
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000853
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/js/web2py.js, HTTP/1.1, 304, 0.002466
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/css/calendar.css, HTTP/1.1, 304, 0.000236
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000607
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001816
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000668
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/images/facebook.png, HTTP/1.1, 304, 0.000523
